id_en,row,text_clean,target,is_pun
en_1611,600,Le pistilet d'une fleur est sa seule défense contre les insectes.,1,1
en_1611,601,Le pistilet de la fleur c’est sa seule protection contre les insectes.,1,1
en_1611,602,Les fleurs portent un pistil-et pour se protéger contre les insects.,1,1
en_1611,603,"Pour se défendre contre les insectes qui volent et revolver elles, les fleurs n'ont rien d'autre qu'une arme à feuilles.",1,1
en_1611,604,"Quand tu es une fleur et que tu dois te défendre contre les insectes qui volent et revolver toi, tue n'a rien d'autre que ton arme à feuilles étamine.",1,1
en_1611,605,"La seule défense d'une fleur contre les insectes, c'est son pistil.",1,1
en_1615,606,"Si tu bois une soupe vieille d'une semaine, ne t'étonne pas après si tu te fais rabrouet parce que tu as mauvaise haleine !",1,1
en_1615,607,Si tu manges du gaspacho vieux de 9 jours tu risques d’avoir des problèmes d’estomate.,1,1
en_1621,608,La course de lévrier à été annulée à cause d'une infestation de puces. Les parieurs ont dû se contenter de jeux à gratter.,1,1
en_1621,609,"Le chat avait un problème parasitaire, il a du être pucé.",1,1
en_1622,610,"J'ai cuisiné 3kg d'épinards, ça devrait me fer la semaine.",1,1
en_1622,611,"J'ai fait beaucoup de soupe de poisson, ils m'en raieste pour toute la semaine.",1,1
en_1622,612,Mon bouillon a des yeux. Mes pommes de terre ont des yeux. Je fais bien attention de manger à heures fixes.,1,1
en_1622,613,"J'ai fait une grosse marmite de soupe d'yeux de poissons, j'ai de quoi voir venir pour le reste de la semaine.",1,1
en_1622,614,"J'ai fait de la soupe d'oeil de poisson, ça devrait m'aider à voir venir la semaine.",1,1
en_1622,615,"J'ai fait une grosse quantité de soupe d'yeux de poissons, ça devrait me permettre de voir venir.",1,1
en_1622,616,"Je viens de cuisiner une pleine marmite de soupe aux yeux de poisson, j'ai de quoi voir venir, au moins toute une semaine !",1,1
en_1622,617,"Je viens de préparer de la soupe de poisson, j'en ai flétan que ça va me tenir la semaine.",1,1
en_1622,618,"Je vous dit que j'ai fais de la soupe avec des yeux de poisson, même si ça ne regarde que moi",1,1
